"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2728","При добавлении ингредиента в заказ, увеличивается каунтер данного ингредиента","tests","Tue Apr 21 07:33:08 UTC 2026","passed","Tue Apr 21 07:33:11 UTC 2026","TestConstructorPage","test_constructor_page","",""
"","193","Переход по клику в раздел «Конструктор»","tests","Tue Apr 21 07:39:32 UTC 2026","passed","Tue Apr 21 07:39:32 UTC 2026","TestNavigation","test_navigation","",""
"","3161","Если кликнуть на ингредиент, появится всплывающее окно с деталями","tests","Tue Apr 21 07:32:55 UTC 2026","passed","Tue Apr 21 07:32:58 UTC 2026","TestConstructorPage","test_constructor_page","",""
"","1189","Если кликнуть на заказ, откроется всплывающее окно с деталями","tests","Tue Apr 21 07:34:03 UTC 2026","passed","Tue Apr 21 07:34:04 UTC 2026","TestFeedOrdersPage","test_feed_order_page","",""
"","6193","При создании нового заказа счётчик Выполнено за сегодня увеличивается","tests","Tue Apr 21 07:35:57 UTC 2026","passed","Tue Apr 21 07:36:03 UTC 2026","TestFeedOrdersPage","test_feed_order_page","",""
"","671","Залогиненный пользователь может оформить заказ","tests","Tue Apr 21 07:33:38 UTC 2026","passed","Tue Apr 21 07:33:39 UTC 2026","TestConstructorPage","test_constructor_page","",""
"","8833","Восстановление пароля","tests","Tue Apr 21 07:37:54 UTC 2026","passed","Tue Apr 21 07:38:03 UTC 2026","TestLoginPage","test_login_page","",""
"","3310","Проверка закрытия модального окна с ингредиентами кликом по крестику","tests","Tue Apr 21 07:33:04 UTC 2026","passed","Tue Apr 21 07:33:07 UTC 2026","TestConstructorPage","test_constructor_page","",""
"","2977","Переход по клику на «Личный кабинет» НЕ авторизованным пользователем","tests","Tue Apr 21 07:38:13 UTC 2026","passed","Tue Apr 21 07:38:16 UTC 2026","TestNavigation","test_navigation","",""
"","3859","Заказы пользователя из раздела «История заказов» отображаются на странице «Лента заказов»","tests","Tue Apr 21 07:34:23 UTC 2026","passed","Tue Apr 21 07:34:27 UTC 2026","TestFeedOrdersPage","test_feed_order_page","",""
